Namespace(algo='a2c', batch_size=64, checkpoint_freq=20000, discount=0.996, ent_coef=0.01, env='CartPole-v1', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.001, niter=10000, nproc=4, parallel_env=0, print_freq=200, replay_size=1000000, save_dir='cartpole_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.01)
observation space: Box(4,)
action space: Discrete(2)
running on device cpu
obses on reset: 4 x (4,) float32
iter    200 |loss   1.00 |n_ep    37 |ep_len   18.8 |ep_rew  18.76 |raw_ep_rew  18.76 |env_step    800 |time 00:00 rem 00:06
iter   7600 |loss   0.00 |n_ep   525 |ep_len  210.5 |ep_rew 210.53 |raw_ep_rew 210.53 |env_step  30400 |time 00:04 rem 00:01
iter   7800 |loss   0.72 |n_ep   531 |ep_len  187.4 |ep_rew 187.42 |raw_ep_rew 187.42 |env_step  31200 |time 00:04 rem 00:01
iter   8000 |loss   0.02 |n_ep   536 |ep_len  178.3 |ep_rew 178.31 |raw_ep_rew 178.31 |env_step  32000 |time 00:04 rem 00:01
iter   8200 |loss  -0.12 |n_ep   540 |ep_len  178.0 |ep_rew 177.97 |raw_ep_rew 177.97 |env_step  32800 |time 00:04 rem 00:00
iter   8400 |loss  -0.20 |n_ep   545 |ep_len  186.9 |ep_rew 186.86 |raw_ep_rew 186.86 |env_step  33600 |time 00:04 rem 00:00
iter   8600 |loss   0.80 |n_ep   549 |ep_len  160.5 |ep_rew 160.53 |raw_ep_rew 160.53 |env_step  34400 |time 00:04 rem 00:00
iter   8800 |loss   0.13 |n_ep   556 |ep_len  148.5 |ep_rew 148.50 |raw_ep_rew 148.50 |env_step  35200 |time 00:04 rem 00:00
iter   9000 |loss   0.86 |n_ep   562 |ep_len  129.8 |ep_rew 129.80 |raw_ep_rew 129.80 |env_step  36000 |time 00:04 rem 00:00
iter   9200 |loss  -0.26 |n_ep   571 |ep_len  125.2 |ep_rew 125.18 |raw_ep_rew 125.18 |env_step  36800 |time 00:04 rem 00:00
iter   9400 |loss   0.13 |n_ep   576 |ep_len  124.2 |ep_rew 124.16 |raw_ep_rew 124.16 |env_step  37600 |time 00:04 rem 00:00
iter   9600 |loss  -0.39 |n_ep   583 |ep_len  127.5 |ep_rew 127.53 |raw_ep_rew 127.53 |env_step  38400 |time 00:05 rem 00:00
iter   9800 |loss   0.64 |n_ep   589 |ep_len  115.3 |ep_rew 115.28 |raw_ep_rew 115.28 |env_step  39200 |time 00:05 rem 00:00
save checkpoint to cartpole_a2c/9999.pth
