Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter  18500 |loss   0.00 |n_ep  1153 |ep_len   25.1 |ep_rew  -0.34 |raw_ep_rew   0.92 |env_step  37000 |time 04:23 rem 43:02
iter  19000 |loss   0.00 |n_ep  1187 |ep_len   25.5 |ep_rew  -0.38 |raw_ep_rew   0.97 |env_step  38000 |time 04:31 rem 43:05
iter  19500 |loss   0.00 |n_ep  1218 |ep_len   31.5 |ep_rew  -0.19 |raw_ep_rew   0.95 |env_step  39000 |time 04:39 rem 43:09
iter  20000 |loss   0.00 |n_ep  1250 |ep_len   27.4 |ep_rew  -0.29 |raw_ep_rew   1.04 |env_step  40000 |time 04:48 rem 43:12
iter  20500 |loss   0.00 |n_ep  1280 |ep_len   37.4 |ep_rew   0.01 |raw_ep_rew   1.11 |env_step  41000 |time 04:56 rem 43:14
iter  21000 |loss   0.00 |n_ep  1313 |ep_len   30.4 |ep_rew  -0.20 |raw_ep_rew   0.96 |env_step  42000 |time 05:04 rem 43:16
iter  21500 |loss   0.00 |n_ep  1348 |ep_len   26.8 |ep_rew  -0.29 |raw_ep_rew   0.89 |env_step  43000 |time 05:12 rem 43:16
iter  22000 |loss   0.01 |n_ep  1379 |ep_len   36.4 |ep_rew  -0.04 |raw_ep_rew   0.81 |env_step  44000 |time 05:21 rem 43:17
iter  22500 |loss   0.00 |n_ep  1407 |ep_len   42.3 |ep_rew   0.05 |raw_ep_rew   0.92 |env_step  45000 |time 05:29 rem 43:17
iter  23000 |loss   0.00 |n_ep  1442 |ep_len   30.3 |ep_rew  -0.22 |raw_ep_rew   1.20 |env_step  46000 |time 05:37 rem 43:17
