Namespace(algo='a2c', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=2000000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.29 |n_ep    31 |ep_len   32.9 |ep_rew  -0.16 |raw_ep_rew   0.36 |env_step   1000 |time 00:05 rem 370:09
iter  18500 |loss   0.17 |n_ep  1130 |ep_len   31.9 |ep_rew  -0.11 |raw_ep_rew   1.33 |env_step  37000 |time 03:24 rem 364:18
iter  19000 |loss  -0.04 |n_ep  1162 |ep_len   32.4 |ep_rew  -0.17 |raw_ep_rew   1.20 |env_step  38000 |time 03:29 rem 364:12
iter  19500 |loss  -0.13 |n_ep  1190 |ep_len   31.1 |ep_rew  -0.19 |raw_ep_rew   1.40 |env_step  39000 |time 03:35 rem 364:03
iter  20000 |loss  -0.01 |n_ep  1215 |ep_len   39.8 |ep_rew   0.03 |raw_ep_rew   1.32 |env_step  40000 |time 03:40 rem 363:59
iter  20500 |loss  -0.05 |n_ep  1245 |ep_len   33.6 |ep_rew  -0.14 |raw_ep_rew   1.48 |env_step  41000 |time 03:46 rem 363:52
iter  21000 |loss  -0.09 |n_ep  1271 |ep_len   46.7 |ep_rew   0.22 |raw_ep_rew   1.34 |env_step  42000 |time 03:51 rem 363:49
iter  21500 |loss   0.04 |n_ep  1301 |ep_len   37.0 |ep_rew  -0.04 |raw_ep_rew   1.68 |env_step  43000 |time 03:57 rem 363:45
iter  22000 |loss  -0.10 |n_ep  1327 |ep_len   32.5 |ep_rew  -0.11 |raw_ep_rew   1.86 |env_step  44000 |time 04:02 rem 363:42
iter  22500 |loss   0.32 |n_ep  1350 |ep_len   36.0 |ep_rew  -0.01 |raw_ep_rew   2.18 |env_step  45000 |time 04:08 rem 363:43
iter  23000 |loss   0.41 |n_ep  1375 |ep_len   40.3 |ep_rew   0.14 |raw_ep_rew   2.20 |env_step  46000 |time 04:13 rem 363:36
iter  23500 |loss  -0.09 |n_ep  1401 |ep_len   39.5 |ep_rew   0.12 |raw_ep_rew   2.38 |env_step  47000 |time 04:19 rem 363:29
iter  24000 |loss  -0.28 |n_ep  1423 |ep_len   48.0 |ep_rew   0.40 |raw_ep_rew   3.04 |env_step  48000 |time 04:24 rem 363:31
iter  24500 |loss  -0.04 |n_ep  1441 |ep_len   47.1 |ep_rew   0.33 |raw_ep_rew   3.49 |env_step  49000 |time 04:30 rem 363:25
iter  25000 |loss  -0.09 |n_ep  1460 |ep_len   53.6 |ep_rew   0.57 |raw_ep_rew   4.71 |env_step  50000 |time 04:35 rem 363:20
iter  25500 |loss  -0.09 |n_ep  1480 |ep_len   50.2 |ep_rew   0.48 |raw_ep_rew   6.20 |env_step  51000 |time 04:41 rem 363:12
iter  26000 |loss   0.07 |n_ep  1498 |ep_len   60.0 |ep_rew   0.68 |raw_ep_rew   6.02 |env_step  52000 |time 04:46 rem 363:06
iter  26500 |loss   0.00 |n_ep  1516 |ep_len   54.5 |ep_rew   0.58 |raw_ep_rew   6.71 |env_step  53000 |time 04:52 rem 363:02
iter  27000 |loss  -0.28 |n_ep  1535 |ep_len   57.0 |ep_rew   0.57 |raw_ep_rew   6.37 |env_step  54000 |time 04:58 rem 362:57
iter  27500 |loss  -0.22 |n_ep  1554 |ep_len   56.4 |ep_rew   0.59 |raw_ep_rew   6.16 |env_step  55000 |time 05:03 rem 362:52
iter  28000 |loss   0.35 |n_ep  1580 |ep_len   34.1 |ep_rew  -0.07 |raw_ep_rew   5.24 |env_step  56000 |time 05:09 rem 362:45
iter  28500 |loss  -0.25 |n_ep  1596 |ep_len   59.3 |ep_rew   0.68 |raw_ep_rew   4.24 |env_step  57000 |time 05:14 rem 362:37
iter  29000 |loss  -0.04 |n_ep  1616 |ep_len   54.2 |ep_rew   0.52 |raw_ep_rew   4.68 |env_step  58000 |time 05:20 rem 362:32
iter  29500 |loss  -0.39 |n_ep  1635 |ep_len   55.4 |ep_rew   0.58 |raw_ep_rew   5.35 |env_step  59000 |time 05:25 rem 362:31
iter  30000 |loss  -0.07 |n_ep  1655 |ep_len   50.5 |ep_rew   0.46 |raw_ep_rew   6.06 |env_step  60000 |time 05:31 rem 362:28
iter  30500 |loss   0.11 |n_ep  1674 |ep_len   47.5 |ep_rew   0.32 |raw_ep_rew   5.90 |env_step  61000 |time 05:36 rem 362:19
iter  31000 |loss  -0.06 |n_ep  1691 |ep_len   59.8 |ep_rew   0.60 |raw_ep_rew   5.95 |env_step  62000 |time 05:42 rem 362:13
iter  31500 |loss   0.18 |n_ep  1710 |ep_len   48.9 |ep_rew   0.40 |raw_ep_rew   5.53 |env_step  63000 |time 05:47 rem 362:06
